,song_name,lyrics,release_date,impression
0,Awake,"Pandemic Plandemic地球よ　are you ready？消えてくmoney　増えてく闇誰が敵で、誰が family？Fathers がいない子供達Mothers を責めて指を刺し悪魔は boys & girls に hush恐怖に怯える面差しSo, where we going？ Where we going？ハーメルンの笛の鳴る方に連れて行かれないように握る小さな手 of ToyomiAnd I tell her love is the answerMay be we are the cancer誰のための riot？裏で糸引く liarsParadox Paradox投げ合う苦しみの rocksなぜ人は奪い、壊し、争い、忘れてる、全ては one分けることができないこと分かることで、分かち合う生まれる　free energy陰と陽の　beautiful synergy分裂する　black brown and yellowFirst class, middle class and ghetto10%が作る線を残りはあくせくと swallowNano レベルの tricknology6 for equal qualities団結は majority繋ないでく灯火thanks to the earth　thanks to the sunthanks to the moon　thanks to the wombthanks to the mind　thanks to the artthanks to the life　thanks to the heartThanks for the love yeaHERE and NOW からもう逃げないNo more　ないものねだり愛という名の Ammoで run itWe're coming and gunning女神たちの気配背負う願い時に目眩するほど長い道のりも粘りLook、　エゴを許し、愛を選び集うジェダイ、命を照らしShare the legacy、めくるメカニズムの得体解ける世界この歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2020/8/21,情報なし
1,Ashes,"First I heistedBut I called your mom backCause I felt like no time to be wastedShe was still a mess I mean we both wereI wished I could be closerBut I collected all the strengthsthere were left in me and I told her....“Your sonDoesn't wanna be buried.And I know this cause we talked about it acouple of times in our marriage.He said 'if anything should happen release me into the sea. I don't need no grave for nobody to come see me'.”She laughed“sound just like him”She cried and I began cite himWe laughed cause he hadAlways something to sayAll this love he gaveAll this pain we have to takeI held the hands of our daughter to make her understandHe became free of formThere's no wonderlandShe asked why how, and if he suffered painI answered as much as I could honestly imagineShe told me that his ashes is soft to touchI told her please remember he loved you muchWe went to a beach no one knows aboutWe entered the water with his ashes in our arms and saidPlease become the water and breezeThe sun the cloud the mountains and treesYour hair your skin your heartYour energy to loveEverything you need to go onNow the both of us covered with ashes kissing and hugging and cryingScreaming off the top of our heads andthe splashes are making her smileI clutched her arms and said“Look. This what your daddy becameHis energy is in everything that surrounds you and you are safe.”Everywhere you go, everything you do, have no doubt or fearWhen the darkness hits you, please don't be ashamed to shed tearsMake your self at home anywhere you're atThis is how he taught us everything is one”She screamed“I am you. You are me. We'll always be.Thank you for the love and life you gave me.You gave my mommy the light she needed.Please return in peace now you are free！”She told me that his ashes is soft to touchI told her please remember he loved you muchWe went to a beach no one knows aboutWe entered the water with his ashes in our arms and saidPlease become the water and breezeThe sun the cloud the mountains and treesYour hair your skin your heartYour energy to loveEverything you need to go onNow the both of us covered with ashes kissing and hugging and cryingScreaming off the top of our heads andthe splashes are making her smileI clutched her arms and said“Look. This what your daddy becameHis energy is in everything that surrounds you and you are safe.”Everywhere you go, everything you do, have no doubt or fearWhen the darkness hits you, please don't be ashamed to shed tearsMake your self at home anywhere you're atThis is how he taught us everything is one”She screamed“I am you. You are me. We'll always be.Thank you for the love and life you gave me.You gave my mommy the light she needed.Please return in peace now you are free！”A:“Energy”T:“Energy”A:“He is... Say He is”T:“He is”A:“The Life Force”T:“The Life Force”A:“Energy”T:“Energy”A:“Divine”T:“Divine”A:“Peace God”T:“Peace God”A:“I Love you”T:“I Love you”A:“And you are me”T:“And you are me”A:“And I am you”T:“And I am you”A:“I love you forever”T:“I love you forever”この歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2017/8/8,情報なし
2,Arigato,I'll cry you a river海へと渡るこの涙Will heal my soul in time散らかった悪夢のかけら　そっと避けながらI'm walking forward nowかすかな光が照らす方へこんなにも弱い泣き虫でもLook at me nowI survivedもう大丈夫I can feel the love nowI can feel the love nowWowCan you feel the love？ (yes you can) feel the love？ (yes you can)WowCan you feel the love？ (yes you can) feel the love？ (yes you can)走り、走り、走り、走りぬいて Look at me　ここに立つよ今走り、走り、走り、走りぬいて Look at me　ここに立つよ今I can feel the love nowいつか聞いたこの世の秘密いつの間にか忘れていた光追いかけていた　悪魔の後を答えがあると手を伸ばした失う事恐れるたびにまた一つ失っていたありのまま　嘘だらけの心さらけ出せたら？I would smile againかすかな光が照らす方へこんなにも弱い泣き虫でもLook at me nowI survivedもう大丈夫I can feel the love nowI can feel the love nowWowCan you feel the love？ (yes you can) feel the love？ (yes you can)WowCan you feel the love？ (yes you can) feel the love？ (yes you can)走り、走り、走り、走りぬいて Look at me　ここに立つよ今走り、走り、走り、走りぬいて Look at me　ここに立つよ今I can feel the love nowWould you pull the trigger or would you give me redemption？折れた羽をそっと抱き寄せてくれるこんなにも愛されてることをI was too scared to know逃げ出したけどBut I'm coming home nowかすかな光が照らす方へこんなにも弱い泣き虫でもLook at me nowI survivedもう大丈夫I can feel the love nowI can feel the love nowWowCan you feel the love？ (yes you can) feel the love？ (yes you can)WowCan you feel the love？ (yes you can) feel the love？ (yes you can)走り、走り、走り、走りぬいて Look at me　ここに立つよ今走り、走り、走り、走りぬいて Look at me　ここに立つよ今I can feel the love nowこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2020/1/11,情報なし
3,ALI BABA REMIX feat. MFS & ralph,Gang してく GangBag してく BagAli BabaAli BabaGang してく GangBag してく BagAli BabaAli Baba「ほら全てが幻」まじ神ってる舐めれば舐めるほどゲロってるHaters は涙Awich は飽きた？冗談きつい Like 私のワギナ奪いとる Bags like Ali Baba のごとくGang on ya gangs　ご愁傷様なんか足りねぇ　上がりたいからもしもし今どこ？　私のサイババ足早 Running　街中舐めたら亡骸立場は明らかCall me mama bloody shottaRap b*tches　クノイチWrap する風呂敷忍ばす Bigger trigga気が気じゃない Ya we the killazGang してく GangBag してく BagAli BabaAli BabaGang してく GangBag してく BagAli BabaAli BabaWho are you？　舐めたきゃ舐めとけI'm a motherf**kin savage何様？とか言われても答えない狙わずとも撃ち抜く勝ち方メインディッシュの前にご馳走様美味しいとこもってけShutta f**k up味わったイチバンMany bans　ありがと変えない Stance yeahまず Dance　踊ろか追わない Dollas　だだだだー気楽ひたすらららららー推薦で来た無敵なギンギンギラーもてなす野次とアンチ味見だけでマンチあげるB*tches　産地直送三ツ星のランチLook at me Look at meかなり ill な女神握手したの Awich男勝り同士嫁にしたいのどっち？むしろ奪え同時Gang してく GangBag してく BagAli BabaAli BabaGang してく GangBag してく BagAli BabaAli BabaBad B*tches　相手にならない貧乏人でもただの Rich より　元貧乏人が好き君の彼女も Flex　俺と撮る写真立派タグは　付いていないけどこの街じゃ　札付きハズレがない麻神もちろん無駄口はナシ働き者　口開けば街の色の歌詞Wannabe b*tch は Too EZ飛べやしない Like a CBD鳴ってる Phone call ring ring ringBad Boy Business BBB俺が狙えば最後ご自慢のダイヤもあの子も奪い取るワンナイト持ち帰る Cash を数えるベッド峰 不二子みたいなボディライン67階から見る 5番街は気付けないほどに小さいしバッグに上がりを詰めて縛るシューレース (NEXT)Just do it like a NIKEGrrrGang してく GangBag してく BagAli BabaAli BabaGang してく GangBag してく BagAli BabaAli Babaこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2023/10/25,情報なし
4,If She Cries,Did she pick you up when you're broken？Did she warm you up when you're frozen？Did she try to mend your heart that's stolen？Did you think I ain't see thatAnd all cause of me yea？It's her love It's her love It's her loveThat slowly had you openedYour love is raw nowNo more TrojansThink you've chosenBut you know my calls are rareAnd I know that I'm fairI just want a little piece to take homeSo break it off for meIf she cries you can blame on meIf that is what would set you freeShe's the heroine with pretty tearsShe can have all that ×2You don't really need toLove me Love me Love me ×2All I really want is toLove you Love you Love you ×2Goddamn your surrender is seductiveEven when you know I'm not to be trustedBut I know she doesn't do the D justiceYou ain't gotta say nothing ×2I'm back in your city nowI'm just checking on ya see how you feeling nowFigured you'd be alright to kind of laugh it off with me nowThen after that we can get to the nitty of the grittyNow that you are hereShould let go your fearIs it the sake that made me look wavy or is it your tears？Wipe them off on meWipe them all off on me yaYou hate love so much and it's all cause of me yaBut you know my calls are rareAnd I know that I'm fairI just want a little piece to take homeSo break it off for meIf she cries you can blame on meIf that is what would set you freeShe's the heroine with pretty tearsShe can have all that ×2You don't really need toLove me Love me Love me ×2All I really want is toLove you Love you Love you ×2この歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2018/10/10,情報なし
5,Wait For Me,嵐が吹き荒れる夜はもう慣れた朝には必ず晴れる Please remember that寝顔を見ながら書く君に捧ぐバースIt's more than meIt's more than meEvery smileEvery wordEvery moment握り締めててもすり抜けちゃいそうでBaby wait for meCan you wait for me？今日はゆっくり一緒に遊ぼうってしてた Promise もまた割り込む緊急の Call繋いだ手解いてごめんねって　でも I have to go家の Door　閉める寸前不貞腐れてても必ず言ってくれる「お仕事頑張ってよ」約束した To be the greatest　信じてくれる To the fullest今の私があるの全部君のおかげでどん底から一緒にいた君と祝う Pay dayNever listened whatever they sayその未来のため I make way声が聞こえる“Will you be home soon？”もう少しだから Can you wait for me？待ちぼうけの Your face“I'm sorry I'm late”笑う君は Angel saving meDaddy がいなくなってMommy は元気なくてずっと寝てばっかいた私を君はかばって「Mommy は疲れてるからって誰も邪魔しないで」一番辛い思いしたのにずっと笑ってだから大きな家に二人で引っ越した時嬉しくて見つめてたらYou said「なんかついてる顔に？」「ね何？やめて、怖いから笑」って二人笑う今まで泣いた分だけ一緒に笑おうOh　あなたは私の誇りその言葉だけあれば I can beA superhuman君の Future笑うために起こす Revolution声が聞こえる“Will you be home soon？”もう少しだから Can you wait for me？待ちぼうけの Your face“I'm sorry I'm late”笑う君は Angel saving meこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2023/10/25,情報なし
6,WheU@,"Straight from the Far East archipelagoいつもやらかしてた Parties in Nago昔は吸ってたうるまのタバコ今じゃYomi Jahが女神のたまごWhere you at mami？　上がる58247 drop top switching lanes左に曲がり到着 Big knotBig Business　まとめるBig gyalWhere you at papi？　ちょうだいsweet love忙しかったよ I need to relaxYaw call Mr. Freedom　やったー今どこ？唾奇とかも今誘ってたとこHey Gracie, call your sister and your momランゲージはmix　言葉 Original島は今日もpeace and it feels like summer響く着信、でまた誰かがWhere you at, pretty girlWhere you at, bad boyWhere you at, hustlasWhere you at, bad bitches外れたヤツらが作ってく道地図にでっかく載せる俺の位置Where you at, pretty girlWhere you at, bad boyWhere you at, hustlasWhere you at, bad bitchesこっから先誰にとっても未知繋いでく愛が1番のRiches246から420いつも通りChakiのStudioへHelloまたちゃちゃっと料理しちゃうBangakZmでも呼んでご飯いこっか私がライブなら必ずかますもにぺっジャンもステージを荒らす今宵もYENの誰かが回すIce Cold Cityに音楽を鳴らすWhere you at　皆 LINEを回すJamのスタジオ？Wrepかライオン？Harlem、Vision、ついてくる美女U-Leeのギャグに笑う一同RyuwにWatapachiSocksはNabe WalksYENTOWN all night longしてバグった誰かがまたやらかすねーMarzy何これ？説明してねぇまじで何これ？説明してWhere you at, pretty girlWhere you at, bad boyWhere you at, hustlasWhere you at, bad bitches外れたヤツらが作ってく道地図にでっかく載せる俺の位置Where you at, pretty girlWhere you at, bad boyWhere you at, hustlasWhere you at, bad bitchesこっから先誰にとっても未知繋いでく愛が1番のRichesこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2022/3/4,情報なし
7,UMUI ft. KOJA MISAKO,This is usThis for all the honorable gatekeepers of the rockWe need you more than everWhat do you know about us？Where did you hear about us？Well did you pay attention？I bet you never didThis is the rock we liveCome get this work we giveWe wear it honestlyBloody loyalty on our sleeves戦世ん終わティ(いくさゆんうわてぃ)今や弥勒世(なまやみるくゆ)此ぬ世ぬ中や銭に靡ち(くぬゆぬなかやじんになびち)人ぬ変わてぃん(ふぃとぅぬかわてぃん)世ぬ変わてぃん(ゆーぬかわてぃん)銭や変わらん(じんぬかわらん)銭銭加那志(じんじんがなしー)嗚呼御尊嗚呼御願サビラWe love hardWe hate hardGenerations of broken heartsYou take take take take take take take take from what is oursWhat you gave; we never askedYou got us yea yea; now we gassedLost our EssenesSit our assesForgot our futureWon't end our pastSo where's your family？“Your life matters？”Profanity！Greater good for the one world？Forget the loss of this one girl？此ぬ世間に出てぃ(くぬしけにでぃてぃ)命ゆ給ち(いぬちゆたぼち)Who fuck are you to judge itYou do not know me嗚呼御尊嗚呼御願サビラChoppas in the airBarrels undergroundWe ain't saying shitWe just living it how it comesこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>,2017/8/8,情報なし
8,NWO,"Are you ready for the vendetta火蓋は切り落とされたAnd the kids don't know no betterHeads get deader necks get wetter愛の祟りTruth 101 for the dummies迷子を導く光Goodbye to your mommy and daddyMoney killing bitches willingEmpty mind full bellyGood thing for bad peopleDarkness lights camera action全部演技全部全部演技友情とかも全部演技感じてたのも全部演技忘れたふりも全部演技I don't even like youNo way out　後戻りはなし大人しくしてれば死にはしないLose what？ I got nothing　いつでも Battle-readyMotherfuckers never loved me I ain't trusting nobodyGive me the, give me the, give me the double lines through the YsYENJAMIN YENJAMIN　やめなさい悪あがきWhat is the lie？　わからない天使たちの空笑い迷い捨てて全て Give it up我々は許されし道を歩み続ける我々は許されし道で祈り続けるOn the motherfucking balls and the chains with no clue我々は許されし道を歩み続けるこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2020/1/11,情報なし
9,Yen Bloc,"dem ah run their mouth truemi ah run tingranking top gyal　一体何人のboysがwant me？素通るパンピーyounginには荷が重すぎるやん6 sextillionまるでchameleonスッと消化するbeefはfilet mignonんで I shit on thembring me the　オマルkZm Bussinskip skip to my lou型にははまらん、こっちがはめるbody nice　たまらん、お金をためるYENTOWN hear mi now　怒りは意味ない仕事をget it done　遊ぶ人一倍we ah get it donedo not pull backbusiness, full block問わない昼夜嗅ぎ分ける嗅覚根こそぎ収穫new time, big clocksBulls eye, Yen blocget it donedo not pull backbusiness, full block問わない昼夜嗅ぎ分ける嗅覚根こそぎ収穫new time, big clocksBulls eye, Yen blocScapegoat　おんぶに抱っこ忙しい昨今、mi a se fuck offScama dem,shotta dem, hustles　脱法Good pussy　ギッコンバッコンon top my head game slaughter溢れ出るslobber dadaが囁くaint nobody baddaA big boss husband bad bitch　あげまん無視するargument money money　掛け算見れば目の毒、聞けば気の毒知らぬは知らぬでまた騒ぎ出す他人の話、突っ込み足掻きそもそも、あなたはなんの係？現実はブランコ秘密のあっこてくまくマヤコンI run it like a marathon女なんてほぼサムネ詐欺A boogie　実物に自信ありwe ah get it donedo not pull backbusiness, full block問わない昼夜嗅ぎ分ける嗅覚根こそぎ収穫new time, big clocksBulls eye, Yen blocget it donedo not pull backbusiness, full block問わない昼夜嗅ぎ分ける嗅覚根こそぎ収穫new time, big clocksBulls eye, Yen blocこの歌詞をマイ歌ネットに登録>このアーティストをマイ歌ネットに登録>",2022/3/4,情報なし
